pokedex_id,latitude,longitude,local_time,close_to_water,city,weather,temperature,population_density,google_types
2837,96,43.772881,-79.208412,2016-09-03T23:46:23,True,Toronto,Clear,19.4,3249.4587,[]
2838,96,43.774438,-79.21467,2016-09-03T23:46:17,True,Toronto,Clear,19.4,3249.4587,"['school', 'primary_school']"
2839,96,43.771801,-79.210263,2016-09-03T23:46:05,True,Toronto,Clear,19.4,3249.4587,"['hair_care', 'beauty_salon', 'store', 'restaurant', 'home_goods_store', 'transit_station', 'electronics_store', 'storage', 'electrician', 'post_office', 'convenience_store', 'pharmacy']"
2840,96,43.768367,-79.214582,2016-09-03T23:44:50,True,Toronto,Clear,19.4,3249.4587,['gym']
2841,90,43.772417,-79.21440600000001,2016-09-03T23:44:46,True,Toronto,Clear,19.4,3249.4587,[]
2842,96,43.771575,-79.21255500000001,2016-09-03T23:42:24,True,Toronto,Clear,19.4,3249.4587,['transit_station']
2843,96,43.769566999999995,-79.21475799999999,2016-09-03T23:42:22,True,Toronto,Clear,19.4,3249.4587,['laundry']
2844,96,43.767414,-79.21467,2016-09-03T23:40:20,True,Toronto,Clear,19.4,3249.4587,[]
2845,90,43.769740000000006,-79.215023,2016-09-03T23:40:01,True,Toronto,Clear,19.4,3249.4587,['laundry']
2846,41,43.772693,-79.208765,2016-09-03T23:39:14,True,Toronto,Clear,19.4,3249.4587,['beauty_salon']
2847,118,43.767577,-79.214053,2016-09-03T23:38:56,True,Toronto,Clear,19.4,3249.4587,[]
2848,10,43.76781,-79.215728,2016-09-03T23:37:59,True,Toronto,Clear,19.4,3249.4587,['gym']
2849,96,43.771308000000005,-79.21440600000001,2016-09-03T23:37:41,True,Toronto,Clear,19.4,3249.4587,['transit_station']
2850,124,43.769434999999994,-79.214934,2016-09-03T23:37:28,True,Toronto,Clear,19.4,3249.4587,"['laundry', 'gym']"
2851,13,43.759345,-79.214582,2016-09-03T23:36:22,True,Toronto,Clear,19.4,3249.4587,[]
2852,92,43.771606,-79.211321,2016-09-03T23:36:16,True,Toronto,Clear,19.4,3249.4587,"['transit_station', 'electrician']"
2853,96,43.771547999999996,-79.211497,2016-09-03T23:35:35,True,Toronto,Clear,19.4,3249.4587,"['transit_station', 'electrician']"
2854,90,43.771231,-79.20894100000001,2016-09-03T23:34:25,True,Toronto,Clear,19.4,3249.4587,"['school', 'hair_care', 'beauty_salon', 'store', 'restaurant', 'home_goods_store', 'transit_station', 'electronics_store', 'storage', 'post_office', 'primary_school', 'convenience_store', 'pharmacy']"
2855,111,43.773635999999996,-79.21634499999999,2016-09-03T23:34:19,True,Toronto,Clear,19.4,3249.4587,[]
2856,13,43.773666999999996,-79.211233,2016-09-03T23:34:00,True,Toronto,Clear,19.4,3249.4587,[]
2857,116,43.768974,-79.210087,2016-09-03T23:33:27,True,Toronto,Clear,19.4,3249.4587,[]
2858,96,43.772364,-79.216962,2016-09-03T23:33:04,True,Toronto,Clear,19.4,3249.4587,[]
2859,41,43.771218,-79.215023,2016-09-03T23:32:54,True,Toronto,Clear,19.4,3249.4587,['transit_station']
2860,41,43.770511,-79.214582,2016-09-03T23:32:48,True,Toronto,Clear,19.4,3249.4587,"['transit_station', 'laundry']"
2861,19,43.769779,-79.209999,2016-09-03T23:32:04,True,Toronto,Clear,19.4,3249.4587,[]
2862,96,43.771873,-79.20947,2016-09-03T23:31:25,True,Toronto,Clear,19.4,3249.4587,"['hair_care', 'beauty_salon', 'store', 'restaurant', 'home_goods_store', 'transit_station', 'electronics_store', 'storage', 'electrician', 'post_office', 'convenience_store', 'pharmacy']"
2863,90,43.77264,-79.215199,2016-09-03T23:31:20,True,Toronto,Clear,19.4,3249.4587,[]
2864,16,43.759427,-79.21467,2016-09-03T23:30:00,True,Toronto,Clear,19.4,3249.4587,[]
2865,96,43.769983,-79.209029,2016-09-03T23:28:12,True,Toronto,Clear,19.4,3249.4587,[]
2866,16,43.771766,-79.209118,2016-09-03T23:27:58,True,Toronto,Clear,19.4,3249.4587,"['hair_care', 'beauty_salon', 'store', 'restaurant', 'home_goods_store', 'transit_station', 'electronics_store', 'storage', 'post_office', 'convenience_store', 'pharmacy']"
2867,96,43.773148,-79.214318,2016-09-03T23:26:35,True,Toronto,Clear,19.4,3249.4587,[]
2868,10,43.770302,-79.21705,2016-09-03T23:26:27,True,Toronto,Clear,19.4,3249.4587,['transit_station']
2869,96,43.76634,-79.215816,2016-09-03T23:26:16,True,Toronto,Clear,19.4,3249.4587,['accounting']
2870,118,43.769687,-79.209029,2016-09-03T23:25:49,True,Toronto,Clear,19.4,3249.4587,[]
2871,46,43.771448,-79.206562,2016-09-03T23:24:40,True,Toronto,Clear,19.4,3249.4587,[]
2872,96,43.774069,-79.21467,2016-09-03T23:22:41,True,Toronto,Clear,19.4,3249.4587,[]
2873,92,43.769493,-79.21475799999999,2016-09-03T23:22:08,True,Toronto,Clear,19.4,3249.4587,['laundry']
2874,46,43.77193,-79.209294,2016-09-03T23:21:34,True,Toronto,Clear,19.4,3249.4587,"['hair_care', 'beauty_salon', 'store', 'restaurant', 'home_goods_store', 'transit_station', 'electronics_store', 'storage', 'post_office', 'convenience_store', 'pharmacy']"
2875,86,43.75182,-79.260752,2016-09-03T23:21:25,True,Toronto,Clear,19.4,3249.4587,"['cafe', 'pharmacy', 'car_dealer', 'restaurant', 'store', 'home_goods_store', 'transit_station', 'clothing_store', 'supermarket', 'grocery_or_supermarket', 'hospital', 'doctor']"
2876,96,43.771555,-79.21467,2016-09-03T23:21:05,True,Toronto,Clear,19.4,3249.4587,['transit_station']
2877,41,43.773423,-79.216433,2016-09-03T23:20:08,True,Toronto,Clear,19.4,3249.4587,[]
2878,96,43.767244,-79.215992,2016-09-03T23:19:50,True,Toronto,Clear,19.4,3249.4587,['accounting']
2879,96,43.769359,-79.218019,2016-09-03T23:19:49,True,Toronto,Clear,19.4,3249.4587,['transit_station']
2880,96,43.771141,-79.213436,2016-09-03T23:19:00,True,Toronto,Clear,19.4,3249.4587,['transit_station']
2881,96,43.766548,-79.20867700000001,2016-09-03T23:18:37,True,Toronto,Clear,19.4,3249.4587,[]
2882,16,43.618930999999996,-79.55476800000001,2016-09-03T23:17:51,True,Toronto,Clear,20.5,2914.5193,"['department_store', 'cafe', 'shoe_store', 'lawyer', 'furniture_store', 'beauty_salon', 'store', 'restaurant', 'home_goods_store', 'transit_station', 'shopping_mall', 'meal_takeaway', 'pharmacy']"
2883,13,43.77342,-79.21096800000001,2016-09-03T23:17:48,True,Toronto,Clear,19.4,3249.4587,[]
2884,96,43.766459000000005,-79.213965,2016-09-03T23:17:33,True,Toronto,Clear,19.4,3249.4587,[]
2885,21,43.753052000000004,-79.260488,2016-09-03T23:15:31,True,Toronto,Clear,19.4,3249.4587,"['lodging', 'secondary_school', 'school']"
2886,96,43.769239,-79.215199,2016-09-03T23:15:25,True,Toronto,Clear,19.4,3249.4587,"['laundry', 'gym']"
2887,96,43.772219,-79.209999,2016-09-03T23:15:12,True,Toronto,Clear,19.4,3249.4587,"['hair_care', 'beauty_salon', 'store', 'restaurant', 'home_goods_store', 'electronics_store', 'storage', 'post_office', 'convenience_store', 'pharmacy']"
2888,41,43.768518,-79.21229,2016-09-03T23:15:09,True,Toronto,Clear,19.4,3249.4587,[]
2889,96,43.767228,-79.20806,2016-09-03T23:14:36,True,Toronto,Clear,19.4,3249.4587,[]
2890,10,43.768527,-79.212379,2016-09-03T23:13:35,True,Toronto,Clear,19.4,3249.4587,[]
2891,92,43.769353,-79.214846,2016-09-03T23:13:18,True,Toronto,Clear,19.4,3249.4587,"['laundry', 'gym']"
2892,41,43.770317999999996,-79.21255500000001,2016-09-03T23:13:16,True,Toronto,Clear,19.4,3249.4587,[]
2893,98,43.769937,-79.21088,2016-09-03T23:12:19,True,Toronto,Clear,19.4,3249.4587,[]
2894,21,43.771643,-79.20938199999999,2016-09-03T23:11:40,True,Toronto,Clear,19.4,3249.4587,"['hair_care', 'beauty_salon', 'store', 'restaurant', 'home_goods_store', 'transit_station', 'electronics_store', 'storage', 'electrician', 'post_office', 'convenience_store', 'pharmacy']"
2895,41,43.771463,-79.209823,2016-09-03T23:11:39,True,Toronto,Clear,19.4,3249.4587,"['hair_care', 'beauty_salon', 'store', 'restaurant', 'home_goods_store', 'transit_station', 'electronics_store', 'storage', 'electrician', 'post_office', 'convenience_store', 'pharmacy']"
2896,96,43.768876,-79.21449399999999,2016-09-03T23:10:51,True,Toronto,Clear,19.4,3249.4587,['gym']
2897,16,43.75192,-79.261809,2016-09-03T23:09:54,True,Toronto,Clear,19.4,3249.4587,"['school', 'jewelry_store', 'dentist', 'restaurant', 'store', 'mosque', 'hospital', 'doctor']"
2898,96,43.768919,-79.211057,2016-09-03T23:08:59,True,Toronto,Clear,19.4,3249.4587,[]
